画像読み込み成功: images/base/base.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像読み込み成功: images/reference/ref_w1_15_w2_30.jpg
  サイズ: 6080 × 3040
  チャンネル数: 3
画像サイズ: 6080 x 3040
比較領域: u=[1520,4560]  v=[760,2280]
真値: (ω1, ω2, ω3) = (15.0, 30.0, 0.0) [deg]
ω₁ スキャン範囲: 5.0°〜25.0°  (201点)
ω₂ スキャン範囲: 20.0°〜40.0°  (201点)
合計 40401 点を計算します

  進捗: 9850 / 40401  (ω1=9.9°, ω2=20.0°, E=1593.7906)
  進捗: 9900 / 40401  (ω1=9.9°, ω2=25.0°, E=1446.8024)
  進捗: 9950 / 40401  (ω1=9.9°, ω2=30.0°, E=1302.0834)
  進捗: 10000 / 40401  (ω1=9.9°, ω2=35.0°, E=1635.1427)
  進捗: 10050 / 40401  (ω1=9.9°, ω2=40.0°, E=1705.4454)
  進捗: 10100 / 40401  (ω1=10.0°, ω2=24.9°, E=1451.2669)
  進捗: 10150 / 40401  (ω1=10.0°, ω2=29.9°, E=1288.1773)
  進捗: 10200 / 40401  (ω1=10.0°, ω2=34.9°, E=1628.8821)
  進捗: 10250 / 40401  (ω1=10.0°, ω2=39.9°, E=1700.5119)
  進捗: 10300 / 40401  (ω1=10.1°, ω2=24.8°, E=1455.9872)
  進捗: 10350 / 40401  (ω1=10.1°, ω2=29.8°, E=1274.8163)
  進捗: 10400 / 40401  (ω1=10.1°, ω2=34.8°, E=1621.2408)
  進捗: 10450 / 40401  (ω1=10.1°, ω2=39.8°, E=1696.3443)
  進捗: 10500 / 40401  (ω1=10.2°, ω2=24.7°, E=1461.2775)
  進捗: 10550 / 40401  (ω1=10.2°, ω2=29.7°, E=1262.6772)
  進捗: 10600 / 40401  (ω1=10.2°, ω2=34.7°, E=1612.6692)
  進捗: 10650 / 40401  (ω1=10.2°, ω2=39.7°, E=1692.7855)
  進捗: 10700 / 40401  (ω1=10.3°, ω2=24.6°, E=1466.4577)
  進捗: 10750 / 40401  (ω1=10.3°, ω2=29.6°, E=1251.0718)
  進捗: 10800 / 40401  (ω1=10.3°, ω2=34.6°, E=1603.8994)
  進捗: 10850 / 40401  (ω1=10.3°, ω2=39.6°, E=1688.5687)
  進捗: 10900 / 40401  (ω1=10.4°, ω2=24.5°, E=1471.3482)
  進捗: 10950 / 40401  (ω1=10.4°, ω2=29.5°, E=1238.7854)
  進捗: 11000 / 40401  (ω1=10.4°, ω2=34.5°, E=1595.2383)
  進捗: 11050 / 40401  (ω1=10.4°, ω2=39.5°, E=1683.4985)
  進捗: 11100 / 40401  (ω1=10.5°, ω2=24.4°, E=1476.1633)
  進捗: 11150 / 40401  (ω1=10.5°, ω2=29.4°, E=1226.9141)
  進捗: 11200 / 40401  (ω1=10.5°, ω2=34.4°, E=1586.3212)
  進捗: 11250 / 40401  (ω1=10.5°, ω2=39.4°, E=1678.5426)
  進捗: 11300 / 40401  (ω1=10.6°, ω2=24.3°, E=1480.4086)
  進捗: 11350 / 40401  (ω1=10.6°, ω2=29.3°, E=1215.4930)
  進捗: 11400 / 40401  (ω1=10.6°, ω2=34.3°, E=1576.3568)
  進捗: 11450 / 40401  (ω1=10.6°, ω2=39.3°, E=1673.4209)
  進捗: 11500 / 40401  (ω1=10.7°, ω2=24.2°, E=1483.7771)
  進捗: 11550 / 40401  (ω1=10.7°, ω2=29.2°, E=1203.2302)
  進捗: 11600 / 40401  (ω1=10.7°, ω2=34.2°, E=1565.4268)
  進捗: 11650 / 40401  (ω1=10.7°, ω2=39.2°, E=1668.1655)
  進捗: 11700 / 40401  (ω1=10.8°, ω2=24.1°, E=1486.2173)
  進捗: 11750 / 40401  (ω1=10.8°, ω2=29.1°, E=1189.8673)
  進捗: 11800 / 40401  (ω1=10.8°, ω2=34.1°, E=1554.1567)
  進捗: 11850 / 40401  (ω1=10.8°, ω2=39.1°, E=1663.3156)
  進捗: 11900 / 40401  (ω1=10.9°, ω2=24.0°, E=1488.2126)
  進捗: 11950 / 40401  (ω1=10.9°, ω2=29.0°, E=1175.5320)
  進捗: 12000 / 40401  (ω1=10.9°, ω2=34.0°, E=1543.5597)
  進捗: 12050 / 40401  (ω1=10.9°, ω2=39.0°, E=1658.5992)
  進捗: 12100 / 40401  (ω1=11.0°, ω2=23.9°, E=1490.5730)
  進捗: 12150 / 40401  (ω1=11.0°, ω2=28.9°, E=1161.6572)
  進捗: 12200 / 40401  (ω1=11.0°, ω2=33.9°, E=1533.2540)
  進捗: 12250 / 40401  (ω1=11.0°, ω2=38.9°, E=1654.3506)
  進捗: 12300 / 40401  (ω1=11.1°, ω2=23.8°, E=1492.9417)
  進捗: 12350 / 40401  (ω1=11.1°, ω2=28.8°, E=1149.1615)
  進捗: 12400 / 40401  (ω1=11.1°, ω2=33.8°, E=1521.0041)
  進捗: 12450 / 40401  (ω1=11.1°, ω2=38.8°, E=1651.0152)
  進捗: 12500 / 40401  (ω1=11.2°, ω2=23.7°, E=1495.0050)
  進捗: 12550 / 40401  (ω1=11.2°, ω2=28.7°, E=1138.2606)
  進捗: 12600 / 40401  (ω1=11.2°, ω2=33.7°, E=1506.8483)
  進捗: 12650 / 40401  (ω1=11.2°, ω2=38.7°, E=1647.9739)
  進捗: 12700 / 40401  (ω1=11.3°, ω2=23.6°, E=1497.1173)
  進捗: 12750 / 40401  (ω1=11.3°, ω2=28.6°, E=1128.0521)
  進捗: 12800 / 40401  (ω1=11.3°, ω2=33.6°, E=1491.9649)
  進捗: 12850 / 40401  (ω1=11.3°, ω2=38.6°, E=1644.6624)
  進捗: 12900 / 40401  (ω1=11.4°, ω2=23.5°, E=1498.7027)
  進捗: 12950 / 40401  (ω1=11.4°, ω2=28.5°, E=1118.9815)
  進捗: 13000 / 40401  (ω1=11.4°, ω2=33.5°, E=1477.8014)
  進捗: 13050 / 40401  (ω1=11.4°, ω2=38.5°, E=1640.7365)
  進捗: 13100 / 40401  (ω1=11.5°, ω2=23.4°, E=1500.0176)
  進捗: 13150 / 40401  (ω1=11.5°, ω2=28.4°, E=1111.4159)
  進捗: 13200 / 40401  (ω1=11.5°, ω2=33.4°, E=1463.8220)
  進捗: 13250 / 40401  (ω1=11.5°, ω2=38.4°, E=1637.0148)
  進捗: 13300 / 40401  (ω1=11.6°, ω2=23.3°, E=1501.3421)
  進捗: 13350 / 40401  (ω1=11.6°, ω2=28.3°, E=1106.3450)
  進捗: 13400 / 40401  (ω1=11.6°, ω2=33.3°, E=1449.8025)
  進捗: 13450 / 40401  (ω1=11.6°, ω2=38.3°, E=1633.5475)
  進捗: 13500 / 40401  (ω1=11.7°, ω2=23.2°, E=1502.1206)
  進捗: 13550 / 40401  (ω1=11.7°, ω2=28.2°, E=1104.2602)
  進捗: 13600 / 40401  (ω1=11.7°, ω2=33.2°, E=1434.8676)
  進捗: 13650 / 40401  (ω1=11.7°, ω2=38.2°, E=1629.0806)
  進捗: 13700 / 40401  (ω1=11.8°, ω2=23.1°, E=1503.1667)
  進捗: 13750 / 40401  (ω1=11.8°, ω2=28.1°, E=1105.3347)
  進捗: 13800 / 40401  (ω1=11.8°, ω2=33.1°, E=1420.7149)
  進捗: 13850 / 40401  (ω1=11.8°, ω2=38.1°, E=1623.1597)
  進捗: 13900 / 40401  (ω1=11.9°, ω2=23.0°, E=1505.0306)
  進捗: 13950 / 40401  (ω1=11.9°, ω2=28.0°, E=1109.2789)
  進捗: 14000 / 40401  (ω1=11.9°, ω2=33.0°, E=1407.0057)
  進捗: 14050 / 40401  (ω1=11.9°, ω2=38.0°, E=1617.1246)
  進捗: 14100 / 40401  (ω1=12.0°, ω2=22.9°, E=1505.7950)
  進捗: 14150 / 40401  (ω1=12.0°, ω2=27.9°, E=1114.5387)
  進捗: 14200 / 40401  (ω1=12.0°, ω2=32.9°, E=1392.8805)
  進捗: 14250 / 40401  (ω1=12.0°, ω2=37.9°, E=1611.0288)
  進捗: 14300 / 40401  (ω1=12.1°, ω2=22.8°, E=1505.1021)
  進捗: 14350 / 40401  (ω1=12.1°, ω2=27.8°, E=1120.7753)
  進捗: 14400 / 40401  (ω1=12.1°, ω2=32.8°, E=1378.9306)
  進捗: 14450 / 40401  (ω1=12.1°, ω2=37.8°, E=1603.9656)
